,track_name,album_name,popularity,release_date,duration,artist_name
0,Sold (The Grundy County Auction Incident),John Michael Montgomery,68,1995-03-17,152186,John Michael Montgomery
1,the author,the author,61,2020-09-18,217213,Luz
2,Whatever We Feel,Whatever We Feel,53,2020-04-03,208965,Sammy Rae & The Friends
3,"You, Dear",This Thing Called Living,56,2019-05-30,187124,Eloise
4,goodnight n go,Sweetener,69,2018-08-17,189506,Ariana Grande
5,NASA,"thank u, next",65,2019-02-08,182000,Ariana Grande
6,Get Into It (Yuh),Planet Her,79,2021-06-25,138293,Doja Cat
7,You're Too Precious,You're Too Precious,51,2020-04-24,223900,James Blake
8,Pancakes for Dinner,Give Me A Minute,63,2020-08-13,235035,Lizzy McAlpine
9,Hrs & Hrs,Public Displays Of Affection: The Album,66,2022-09-23,204316,Muni Long
10,Bailar Contigo,Encanto Tropical,60,2018-05-18,218773,Monsieur Periné
11,Twenty Two and Some Change,Guess I’m Grown Now,45,2019-10-11,174240,Stephen Day
12,"Hey Stupid, I Love You","Hey Stupid, I Love You",64,2020-06-25,181000,JP Saxe
13,Cariñito,Al Chile,53,2019-05-03,219733,Lila Downs
14,Aren’t You Lovely,Aren’t You Lovely,30,2018-10-09,208666,Evann McIntosh
15,I’m Coming ‘Round,Cold Heart,36,2018-03-09,275480,Thirdstory
16,decide to be happy,SUPERBLOOM,52,2020-07-24,207493,MisterWives
17,January Wedding,I And Love And You,50,2009-01-01,228000,The Avett Brothers
18,JEWEL,JEWEL,41,2020-02-07,241225,Adam Melchor
19,Make You Feel My Love,19,76,2008-01-27,212040,Adele
20,She's A Lady,Underdog Alma Mater,52,2008-01-01,240040,Forever The Sickest Kids
21,Bring it on Home to Me (feat. Charlie Bereal),Bring it on Home to Me (feat. Charlie Bereal),52,2021-04-23,201600,Charlie Bereal
22,Just Beginning,Nobody Knows,42,2021-07-14,180320,Muni Long
23,Berna,Flavour of Africa,44,2020-12-04,238576,Tekno
24,Anything For You,Prepare The Preparations,24,2010-01-01,203386,Ludo
25,Ain't Shit,Planet Her,78,2021-06-25,174253,Doja Cat
26,Have Mercy,Have Mercy,72,2021-09-10,148778,Chlöe
27,positions,Positions,83,2020-10-30,172324,Ariana Grande
28,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,67,2021-04-27,168030,Travis Barker
29,You Right,Planet Her,82,2021-06-25,186173,The Weeknd
30,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003-01-01,186866,Lindsay Lohan
31,CHICKEN TENDIES,CHICKEN TENDIES,67,2021-02-19,196844,Clinton Kane
32,I Forgot That You Existed,Lover,72,2019-08-23,170640,Taylor Swift
33,Woman,Planet Her,87,2021-06-25,172626,Doja Cat
34,Goodnight Moon,Do Overs And Second Chances,52,2010-01-01,306186,Go Radio
35,just like magic,Positions,68,2020-10-30,149900,Ariana Grande
36,Hocus Pocus,Year One,39,2018-05-11,218363,Clark Beckham
37,DÁKITI,DÁKITI,82,2020-10-30,205090,Jhayco
38,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),65,2021-04-09,254254,Taylor Swift
39,La Negra Tiene Tumbao,La Negra Tiene Tumbao,55,2001-12-03,253346,Celia Cruz
40,IVORY,IVORY,29,2019-08-18,229471,Tobe Nwigwe
41,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",59,2020-09-04,255180,Latto
42,Good Kisser,Free Yourself Up,60,2018-05-04,218493,Lake Street Dive
43,"Best Friend (feat. Doja Cat, Jamie & CHANMINA) [Remix]",Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],62,2021-04-23,206000,Doja Cat
44,Naked,Planet Her,67,2021-06-25,223560,Doja Cat
