,track_name,album_name,popularity,release_date,duration,artist_name
0,Kill Monsters In The Rain,Trampoline,18,2007-01-01,237933,Steel Train
1,To Take You Home,Love Ire & Song,24,2009-05-18,229133,Frank Turner
2,The Freshmen,Villains,61,1996-03-25,269466,The Verve Pipe
3,What's Your Name,Mélange,0,2020-06-26,273453,Seth Slay
4,I Was Made For Sunny Days,Be My Thrill,45,2010-08-31,193506,Steve Tannen
5,I Got,Young The Giant (Special Edition),42,2011,259773,Young the Giant
6,Good as New,Gone,31,2012-06-25,204026,Vacationer
7,I Need A Life,"Red, Yellow & Blue",30,2008,206626,Born Ruffians
