playlist_id,playlist_name,collaborative,description,track_name,artist_name,album_name,song_duration,genres,artist_popularity
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,"I Hear Voices - 12"" Instrumental Version",MF DOOM,Operation: Doomsday (Complete),174773,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,Doomsday - Instrumental,MF DOOM,Operation: Doomsday (Complete),299213,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,Rhymes Like Dimes - Instrumental,MF DOOM,Operation: Doomsday (Complete),130466,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,The Finest - Instrumental,MF DOOM,Operation: Doomsday (Complete),262306,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,The Hands of Doom - Instrumental,MF DOOM,Operation: Doomsday (Complete),124013,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,Who You Think I Am - Instrumental,MF DOOM,Operation: Doomsday (Complete),130013,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
50mtPLsnhnz5URa2ntUanI,Operation: Doomsday (Complete),FALSE,,? - Instrumental,MF DOOM,Operation: Doomsday (Complete),157946,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",74
5dKOZbxeHzDhykyAL62AQ9,wedding playlist 2,FALSE,"it&#x27;s not really like super positive love songs, but i listened to &#x27;baby, i love you&#x27; again and i wanted the same vibe. i want to have a divine love. &#x27;til then i&#x27;ll just keep singing about it.",Do You Realize??,The Flaming Lips,Yoshimi Battles the Pink Robots,213173,"['alternative rock', 'art rock', 'indie rock', 'modern rock', 'noise pop', 'okc indie', 'rock']",54
5dKOZbxeHzDhykyAL62AQ9,wedding playlist 2,FALSE,"it&#x27;s not really like super positive love songs, but i listened to &#x27;baby, i love you&#x27; again and i wanted the same vibe. i want to have a divine love. &#x27;til then i&#x27;ll just keep singing about it.",I Melt with You,Modern English,After the Snow,251573,"['new romantic', 'new wave', 'new wave pop', 'post-punk', 'synthpop']",49
5dKOZbxeHzDhykyAL62AQ9,wedding playlist 2,FALSE,"it&#x27;s not really like super positive love songs, but i listened to &#x27;baby, i love you&#x27; again and i wanted the same vibe. i want to have a divine love. &#x27;til then i&#x27;ll just keep singing about it.",Just Like Heaven,The Cure,"Kiss Me, Kiss Me, Kiss Me",212013,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",74
