,playlist_name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
880,Atlas: II,0.934,https://api.spotify.com/v1/audio-analysis/3Qx00QtPFcbPdu4Yb3shcW,0.31,235332,0.245,3Qx00QtPFcbPdu4Yb3shcW,0.000138,6,0.108,-10.16,1,0.0336,['tempo'],4,https://api.spotify.com/v1/tracks/3Qx00QtPFcbPdu4Yb3shcW,['type'],spotify:track:3Qx00QtPFcbPdu4Yb3shcW,0.183
881,Atlas: II,0.823,https://api.spotify.com/v1/audio-analysis/6UalKSVrYS0U58qODsb6E1,0.421,213939,0.254,6UalKSVrYS0U58qODsb6E1,0.000144,0,0.141,-12.727,1,0.0307,['tempo'],3,https://api.spotify.com/v1/tracks/6UalKSVrYS0U58qODsb6E1,['type'],spotify:track:6UalKSVrYS0U58qODsb6E1,0.135
882,Atlas: II,0.927,https://api.spotify.com/v1/audio-analysis/0ESL8nIMB1YkTfhEb5tjlm,0.533,248182,0.423,0ESL8nIMB1YkTfhEb5tjlm,0.00143,0,0.104,-10.543,1,0.0334,['tempo'],4,https://api.spotify.com/v1/tracks/0ESL8nIMB1YkTfhEb5tjlm,['type'],spotify:track:0ESL8nIMB1YkTfhEb5tjlm,0.171
883,Atlas: II,0.891,https://api.spotify.com/v1/audio-analysis/04l6yHbxMQjmUt4wMuyfWE,0.402,203032,0.342,04l6yHbxMQjmUt4wMuyfWE,4.04e-06,0,0.101,-9.593,1,0.0322,['tempo'],4,https://api.spotify.com/v1/tracks/04l6yHbxMQjmUt4wMuyfWE,['type'],spotify:track:04l6yHbxMQjmUt4wMuyfWE,0.448
884,Atlas: II,0.902,https://api.spotify.com/v1/audio-analysis/6qWfB1QABjGnaO6mrn9iBF,0.384,260429,0.325,6qWfB1QABjGnaO6mrn9iBF,6.74e-06,4,0.361,-9.485,1,0.0398,['tempo'],4,https://api.spotify.com/v1/tracks/6qWfB1QABjGnaO6mrn9iBF,['type'],spotify:track:6qWfB1QABjGnaO6mrn9iBF,0.274
885,Atlas: II,0.943,https://api.spotify.com/v1/audio-analysis/6repBSBLZ55lWrqwjU45R3,0.292,245619,0.181,6repBSBLZ55lWrqwjU45R3,0.0,0,0.0965,-11.096,1,0.0531,['tempo'],1,https://api.spotify.com/v1/tracks/6repBSBLZ55lWrqwjU45R3,['type'],spotify:track:6repBSBLZ55lWrqwjU45R3,0.259
886,Atlas: II,0.969,https://api.spotify.com/v1/audio-analysis/5trLena0aJdkWGIKDYxaDw,0.34,294179,0.115,5trLena0aJdkWGIKDYxaDw,1.69e-05,5,0.119,-13.264,1,0.0351,['tempo'],4,https://api.spotify.com/v1/tracks/5trLena0aJdkWGIKDYxaDw,['type'],spotify:track:5trLena0aJdkWGIKDYxaDw,0.13
887,Atlas: II,0.79,https://api.spotify.com/v1/audio-analysis/2IWATEo08kcmWA3D7aCJ1K,0.457,355009,0.412,2IWATEo08kcmWA3D7aCJ1K,0.263,6,0.116,-12.814,1,0.0381,['tempo'],5,https://api.spotify.com/v1/tracks/2IWATEo08kcmWA3D7aCJ1K,['type'],spotify:track:2IWATEo08kcmWA3D7aCJ1K,0.149
888,Atlas: II,0.868,https://api.spotify.com/v1/audio-analysis/5jOler9ESUeXt0xdqM0Kqo,0.188,252834,0.341,5jOler9ESUeXt0xdqM0Kqo,0.000103,11,0.0817,-9.708,1,0.029,['tempo'],3,https://api.spotify.com/v1/tracks/5jOler9ESUeXt0xdqM0Kqo,['type'],spotify:track:5jOler9ESUeXt0xdqM0Kqo,0.178
889,Atlas: II,0.649,https://api.spotify.com/v1/audio-analysis/2LzOMk2irKa51zmGyQKNmK,0.337,263124,0.454,2LzOMk2irKa51zmGyQKNmK,7.69e-05,3,0.104,-11.377,1,0.0438,['tempo'],4,https://api.spotify.com/v1/tracks/2LzOMk2irKa51zmGyQKNmK,['type'],spotify:track:2LzOMk2irKa51zmGyQKNmK,0.116
890,Atlas: II,0.576,https://api.spotify.com/v1/audio-analysis/5lh5m39QK2vSK0LkDa1G9y,0.266,248905,0.283,5lh5m39QK2vSK0LkDa1G9y,0.0,7,0.0981,-10.696,0,0.0415,['tempo'],4,https://api.spotify.com/v1/tracks/5lh5m39QK2vSK0LkDa1G9y,['type'],spotify:track:5lh5m39QK2vSK0LkDa1G9y,0.426
891,Atlas: II,0.924,https://api.spotify.com/v1/audio-analysis/3sWSaloIzYWOV7DOm2uKdu,0.382,321767,0.09,3sWSaloIzYWOV7DOm2uKdu,0.0,10,0.133,-16.467,1,0.0525,['tempo'],4,https://api.spotify.com/v1/tracks/3sWSaloIzYWOV7DOm2uKdu,['type'],spotify:track:3sWSaloIzYWOV7DOm2uKdu,0.229
892,Litty,0.223,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,0.765,198293,0.356,3pXF1nA74528Edde4of9CC,0.0,11,0.0963,-5.556,0,0.195,['tempo'],4,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,['type'],spotify:track:3pXF1nA74528Edde4of9CC,0.189
893,Litty,0.0711,https://api.spotify.com/v1/audio-analysis/19a3JfW8BQwqHWUMbcqSx8,0.465,196040,0.735,19a3JfW8BQwqHWUMbcqSx8,0.0,6,0.0975,-3.715,1,0.117,['tempo'],4,https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8,['type'],spotify:track:19a3JfW8BQwqHWUMbcqSx8,0.409
894,Litty,0.0161,https://api.spotify.com/v1/audio-analysis/2gZUPNdnz5Y45eiGxpHGSc,0.542,292093,0.914,2gZUPNdnz5Y45eiGxpHGSc,0.0,0,0.744,-4.747,0,0.113,['tempo'],4,https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc,['type'],spotify:track:2gZUPNdnz5Y45eiGxpHGSc,0.576
895,Litty,0.0511,https://api.spotify.com/v1/audio-analysis/1wZqJM5FGDEl3FjHDxDyQd,0.717,235477,0.347,1wZqJM5FGDEl3FjHDxDyQd,2.43e-06,11,0.087,-10.265,0,0.0636,['tempo'],4,https://api.spotify.com/v1/tracks/1wZqJM5FGDEl3FjHDxDyQd,['type'],spotify:track:1wZqJM5FGDEl3FjHDxDyQd,0.0589
896,Litty,0.152,https://api.spotify.com/v1/audio-analysis/3x4I4nRuZp5NdtGvCPw6Ms,0.712,180675,0.463,3x4I4nRuZp5NdtGvCPw6Ms,0.0,1,0.642,-9.33,0,0.143,['tempo'],4,https://api.spotify.com/v1/tracks/3x4I4nRuZp5NdtGvCPw6Ms,['type'],spotify:track:3x4I4nRuZp5NdtGvCPw6Ms,0.593
897,Litty,0.179,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,0.808,220627,0.535,7oOOI85fVQvVnK5ynNMdW7,9.91e-05,1,0.158,-12.521,1,0.0353,['tempo'],4,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,['type'],spotify:track:7oOOI85fVQvVnK5ynNMdW7,0.848
898,Litty,0.17,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,0.94,209640,0.335,5hTpBe8h35rJ67eAWHQsJx,0.0,5,0.262,-10.179,0,0.505,['tempo'],4,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,['type'],spotify:track:5hTpBe8h35rJ67eAWHQsJx,0.707
899,Litty,0.236,https://api.spotify.com/v1/audio-analysis/7yyRTcZmCiyzzJlNzGC9Ol,0.886,225205,0.525,7yyRTcZmCiyzzJlNzGC9Ol,0.0,8,0.057,-7.39,1,0.131,['tempo'],4,https://api.spotify.com/v1/tracks/7yyRTcZmCiyzzJlNzGC9Ol,['type'],spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,0.708
900,Litty,0.156,https://api.spotify.com/v1/audio-analysis/0v9Wz8o0BT8DU38R4ddjeH,0.652,304607,0.795,0v9Wz8o0BT8DU38R4ddjeH,0.0,11,0.123,-5.192,0,0.174,['tempo'],4,https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH,['type'],spotify:track:0v9Wz8o0BT8DU38R4ddjeH,0.788
901,Litty,0.0358,https://api.spotify.com/v1/audio-analysis/60xaS8mYBKUW4VQQ666N0T,0.704,141542,0.777,60xaS8mYBKUW4VQQ666N0T,0.0,2,0.151,-5.729,1,0.195,['tempo'],4,https://api.spotify.com/v1/tracks/60xaS8mYBKUW4VQQ666N0T,['type'],spotify:track:60xaS8mYBKUW4VQQ666N0T,0.392
902,Litty,0.0101,https://api.spotify.com/v1/audio-analysis/5ivOiIOSkypt3P1jqjlmcf,0.628,237560,0.485,5ivOiIOSkypt3P1jqjlmcf,3.79e-06,0,0.113,-6.02,1,0.0733,['tempo'],4,https://api.spotify.com/v1/tracks/5ivOiIOSkypt3P1jqjlmcf,['type'],spotify:track:5ivOiIOSkypt3P1jqjlmcf,0.54
903,Litty,0.563,https://api.spotify.com/v1/audio-analysis/6nJsC8zQcQud5RbyZTUqGq,0.833,171213,0.62,6nJsC8zQcQud5RbyZTUqGq,0.0793,2,0.114,-7.561,1,0.152,['tempo'],4,https://api.spotify.com/v1/tracks/6nJsC8zQcQud5RbyZTUqGq,['type'],spotify:track:6nJsC8zQcQud5RbyZTUqGq,0.186
904,Litty,0.0393,https://api.spotify.com/v1/audio-analysis/0uEp9E98JB5awlA084uaIg,0.535,320267,0.505,0uEp9E98JB5awlA084uaIg,0.0,2,0.0923,-8.926,0,0.245,['tempo'],4,https://api.spotify.com/v1/tracks/0uEp9E98JB5awlA084uaIg,['type'],spotify:track:0uEp9E98JB5awlA084uaIg,0.495
905,Litty,0.114,https://api.spotify.com/v1/audio-analysis/5fybLNY2eBRnEGg8SUW6yk,0.934,243587,0.649,5fybLNY2eBRnEGg8SUW6yk,1.71e-06,7,0.0807,-6.465,1,0.266,['tempo'],4,https://api.spotify.com/v1/tracks/5fybLNY2eBRnEGg8SUW6yk,['type'],spotify:track:5fybLNY2eBRnEGg8SUW6yk,0.685
906,Litty,0.145,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,0.901,229827,0.697,7KwZNVEaqikRSBSpyhXK2j,0.0,9,0.287,-3.439,1,0.28,['tempo'],4,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,['type'],spotify:track:7KwZNVEaqikRSBSpyhXK2j,0.67
907,Litty,0.0643,https://api.spotify.com/v1/audio-analysis/4Ninct3SYhYPFEZ5tNu4of,0.902,223742,0.54,4Ninct3SYhYPFEZ5tNu4of,0.0,1,0.248,-9.681,1,0.433,['tempo'],4,https://api.spotify.com/v1/tracks/4Ninct3SYhYPFEZ5tNu4of,['type'],spotify:track:4Ninct3SYhYPFEZ5tNu4of,0.468
908,Litty,0.00826,https://api.spotify.com/v1/audio-analysis/5iUQMwxUPdJBFeGkePtM66,0.836,305350,0.67,5iUQMwxUPdJBFeGkePtM66,0.000355,5,0.0837,-6.907,0,0.23,['tempo'],4,https://api.spotify.com/v1/tracks/5iUQMwxUPdJBFeGkePtM66,['type'],spotify:track:5iUQMwxUPdJBFeGkePtM66,0.556
909,Litty,0.141,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,0.679,230453,0.587,7MXVkk9YMctZqd1Srtv4MB,6.35e-06,7,0.137,-7.015,1,0.276,['tempo'],4,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,['type'],spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.486
910,Litty,0.0128,https://api.spotify.com/v1/audio-analysis/02M6vucOvmRfMxTXDUwRXu,0.747,213507,0.705,02M6vucOvmRfMxTXDUwRXu,0.0,9,0.126,-5.137,0,0.126,['tempo'],4,https://api.spotify.com/v1/tracks/02M6vucOvmRfMxTXDUwRXu,['type'],spotify:track:02M6vucOvmRfMxTXDUwRXu,0.56
911,Litty,0.11,https://api.spotify.com/v1/audio-analysis/4pAl7FkDMNBsjykPXo91B3,0.671,191600,0.314,4pAl7FkDMNBsjykPXo91B3,0.0,5,0.0825,-8.091,0,0.244,['tempo'],4,https://api.spotify.com/v1/tracks/4pAl7FkDMNBsjykPXo91B3,['type'],spotify:track:4pAl7FkDMNBsjykPXo91B3,0.296
912,Litty,0.143,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,0.843,270507,0.806,0I3q5fE6wg7LIfHGngUTnV,0.0,4,0.0771,-5.946,0,0.269,['tempo'],4,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,['type'],spotify:track:0I3q5fE6wg7LIfHGngUTnV,0.613
913,Litty,0.0584,https://api.spotify.com/v1/audio-analysis/4osgfFTICMkcGbbigdsa53,0.762,302347,0.508,4osgfFTICMkcGbbigdsa53,0.00126,3,0.16,-9.112,1,0.0919,['tempo'],4,https://api.spotify.com/v1/tracks/4osgfFTICMkcGbbigdsa53,['type'],spotify:track:4osgfFTICMkcGbbigdsa53,0.37
914,Litty,0.0251,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,0.743,214400,0.675,1KGi9sZVMeszgZOWivFpxs,0.000717,8,0.0685,-4.267,0,0.0953,['tempo'],4,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,['type'],spotify:track:1KGi9sZVMeszgZOWivFpxs,0.59
915,Litty,0.0475,https://api.spotify.com/v1/audio-analysis/7pttGrC2YJYQ997ZryXGCG,0.551,228147,0.503,7pttGrC2YJYQ997ZryXGCG,0.0,7,0.116,-6.678,0,0.17,['tempo'],4,https://api.spotify.com/v1/tracks/7pttGrC2YJYQ997ZryXGCG,['type'],spotify:track:7pttGrC2YJYQ997ZryXGCG,0.305
916,Litty,0.201,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,0.892,267267,0.714,1AWQoqb9bSvzTjaLralEkT,0.000234,4,0.0521,-6.055,0,0.141,['tempo'],4,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,['type'],spotify:track:1AWQoqb9bSvzTjaLralEkT,0.817
917,Litty,0.168,https://api.spotify.com/v1/audio-analysis/5Dq46UT30R48QNITvD9QpM,0.807,189040,0.588,5Dq46UT30R48QNITvD9QpM,0.0,9,0.0856,-6.486,1,0.209,['tempo'],4,https://api.spotify.com/v1/tracks/5Dq46UT30R48QNITvD9QpM,['type'],spotify:track:5Dq46UT30R48QNITvD9QpM,0.528
