,track_name,album_name,popularity,release_date,duration,artist_name
0,Thoughts From the ER (Silver Lining),Hotel TV,32,2021-07-23,262373,Lawrence
1,It's Not All About You,Hotel TV,47,2021-07-23,151320,Lawrence
2,Don't Move,Hotel TV,31,2021-07-23,180906,Lawrence
3,It's Gonna Be Me (feat. Brasstracks),Hotel TV,39,2021-07-23,203653,Brasstracks
4,The Weather,Hotel TV,44,2021-07-23,169093,Lawrence
5,False Alarms (with Jon Bellion),Hotel TV,48,2021-07-23,240133,Jon Bellion
6,Figure It Out (A Song Between Siblings),Hotel TV,31,2021-07-23,248293,Lawrence
7,Stupid Deep,Glory Sound Prep,58,2018-11-09,178176,Jon Bellion
8,False Alarms (with Jon Bellion),False Alarms (with Jon Bellion),39,2021-07-22,240133,Jon Bellion
9,Hand Of God - Outro,The Human Condition,42,2016-06-10,337551,Jon Bellion
10,JT,Glory Sound Prep,47,2018-11-09,268466,Jon Bellion
11,Couples Retreat,Glory Sound Prep,42,2018-11-09,208697,Jon Bellion
12,Pre-Occupied,The Definition,41,2014-09-23,267794,Blaque Keyz
13,Human,The Definition,47,2014-09-23,205268,Jon Bellion
14,Simple & Sweet,The Definition,49,2014-09-23,171868,Jon Bellion
15,Ooh,The Definition,47,2014-09-23,219227,Christianne Jensen
16,Luxury,The Definition,49,2014-09-23,243458,Audra Mae
17,Dead Man Walking,Translations Through Speakers,50,2013-02-20,196840,Jon Bellion
