,track_name,album_name,popularity,release_date,duration,artist_name
0,Leave The Door Open,An Evening With Silk Sonic,83,2021-11-11,242096,Silk Sonic
1,Summer on You,Summer on You,59,2018-06-21,205791,PRETTYMUCH
2,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",59,2020-09-04,255180,Latto
3,No Drama,No Drama,11,2020-03-13,176253,The New Respects
4,Angel Baby,Angel Baby,80,2021-09-09,220779,Troye Sivan
5,Meet Me At Our Spot,THE ANXIETY,79,2020-03-13,162680,Tyler Cole
6,Waffle House,Black Like This,28,2020-11-13,204806,Muni Long
7,Sneaky Link,Nobody Knows,40,2021-07-14,222337,Muni Long
8,No R&B,Public Displays Of Affection: The Album,42,2022-09-23,214263,Ann Marie
9,Have Mercy,Have Mercy,72,2021-09-10,148778,Chlöe
10,NASA,"thank u, next",65,2019-02-08,182000,Ariana Grande
11,Berna,Flavour of Africa,44,2020-12-04,238576,Tekno
12,No Copia,No Copia,47,2020-06-04,175338,Llane
13,Favorito,Favorito,66,2020-03-26,211613,Camilo
14,Girlfriend,Girlfriend,61,2020-06-23,177438,Charlie Puth
15,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),73,2018-06-08,164640,Lil Yachty
16,Safaera,YHLQMDLG,79,2020-02-29,295176,Ñengo Flow
17,Yo Perreo Sola,YHLQMDLG,78,2020-02-29,172127,Bad Bunny
18,Callaita,Callaita,79,2019-05-31,250533,Tainy
19,Arcoíris,Colores,55,2020-03-19,186693,Mr Eazi
20,Find Someone Like You,"- Ugh, those feels again",58,2019-08-16,206465,Snoh Aalegra
21,Still Not Falling,Timeshare,20,2013-10-29,251640,Shy Girls
22,Felices los 4,F.A.M.E.,72,2018-05-18,230000,Maluma
23,Julia,Leave What's Lost Behind,43,2020-01-24,205413,Colony House
24,To Noise Making (Sing),"Wasteland, Baby!",47,2019-03-01,206920,Hozier
25,Do Whatcha Wanna,25th Anniversary,35,2008-01-01,192680,Rebirth Brass Band
26,Wraith Pinned to the Mist and Other Games,The Sunlandic Twins,55,2005-04-12,255613,of Montreal
27,Holy Ghost,Cocoa Sugar,35,2018-03-09,152654,Young Fathers
28,Young Americans - Single Version; 2002 Remaster,Best of Bowie,43,2002-10-21,194640,David Bowie
29,I Fought the Law,Hits Back,58,2013-08-26,163240,The Clash
30,Katchua,Katchua,55,2018-10-24,229433,Ya Levis
31,Suzanna,Midnight Train,42,2020-06-05,230787,Sauti Sol
32,Djadja,NAKAMURA,69,2018-11-02,171133,Aya Nakamura
33,Don't Pull Your Love,Greatest Hits,38,1994-11-22,162026,"Hamilton, Joe Frank & Reynolds"
34,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),69,1990-04-17,251573,A Tribe Called Quest
35,Liballa,Liballa,44,2018-05-18,288574,Ya Levis
36,Jenevah,H E L I O S.,45,2018-07-27,260000,Tayc
37,La métisse,Zulu,27,2013-09-13,231253,Mario Ramsamy
38,Jowo,A Better Time,57,2020-11-12,176470,Davido
39,Nobody,Nobody,49,2020-03-06,145860,Mr Eazi
40,Definition,Mos Def & Talib Kweli Are Black Star,58,1998-09-29,206493,Black Star
41,Sunday Candy,Surf,63,2015-06-30,226013,Donnie Trumpet & The Social Experiment
42,The Light,Go! Common Classics,52,2010-05-11,243586,Common
43,Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),80,1997-03-04,229826,The Notorious B.I.G.
44,7/11,BEYONCÉ [Platinum Edition],68,2014-11-24,213506,Beyoncé
45,Angels (feat. Saba),Angels (feat. Saba),41,2015-10-27,205384,Saba
46,Paper Planes,Kala,76,2007-08-20,205200,M.I.A.
47,Gangnam Style (강남스타일),Gangnam Style (강남스타일),73,2012-01-01,219493,PSY
48,Formation,Lemonade,70,2016-04-23,206080,Beyoncé
49,Soy Yo,Amanecer,61,2015-06-02,159800,Bomba Estéreo
