,track_name,album_name,popularity,release_date,duration,artist_name
0,Talkin' New York,Bob Dylan,33,1962-03-19,197653,Bob Dylan
1,"It Takes a Lot to Laugh, It Takes a Train to Cry",Highway 61 Revisited,41,1965-08-30,245133,Bob Dylan
2,Queen Jane Approximately,Highway 61 Revisited,44,1965-08-30,327466,Bob Dylan
3,Highway 61 Revisited,Highway 61 Revisited,42,1965-08-30,205826,Bob Dylan
4,Girl from the North Country,The Freewheelin' Bob Dylan,50,1963-05-27,199573,Bob Dylan
5,"Don't Think Twice, It's All Right",The Freewheelin' Bob Dylan,65,1963-05-27,217400,Bob Dylan
6,Blowin' in the Wind,The Freewheelin' Bob Dylan,67,1963-05-27,165426,Bob Dylan
7,To Be Alone with You,Nashville Skyline,47,1969-04-09,127600,Bob Dylan
8,Tonight I'll Be Staying Here with You,Nashville Skyline,51,1969-04-09,201133,Bob Dylan
9,The Lonesome Death of Hattie Carroll,The Times They Are A-Changin',36,1964-01-13,345133,Bob Dylan
10,The Times They Are A-Changin',The Times They Are A-Changin',65,1964-01-13,192053,Bob Dylan
11,Black Crow Blues,Another Side Of Bob Dylan,28,1964-08-08,194706,Bob Dylan
12,Ballad in Plain D,Another Side Of Bob Dylan,27,1964-08-08,497160,Bob Dylan
13,I Shall Be Free No. 10,Another Side Of Bob Dylan,26,1964-08-08,288333,Bob Dylan
14,She Belongs to Me,Bringing It All Back Home,46,1965-03-22,166706,Bob Dylan
15,One Too Many Mornings,The Times They Are A-Changin',41,1964-01-13,157933,Bob Dylan
16,Only a Pawn in Their Game,The Times They Are A-Changin',35,1964-01-13,209160,Bob Dylan
17,Restless Farewell,The Times They Are A-Changin',31,1964-01-13,332706,Bob Dylan
18,Make You Feel My Love,Time Out Of Mind,53,1997-09-30,211000,Bob Dylan
