,track_name,album_name,popularity,release_date,duration,artist_name
0,Hey There Delilah,All That We Needed,78,2005-01-01,232533,Plain White T's
1,Who Says,When The Sun Goes Down,75,2011-01-01,195613,Selena Gomez & The Scene
2,Potential Breakup Song,Insomniatic,67,2007-01-01,219773,Aly & AJ
3,So Yesterday,Metamorphosis,57,2003-01-01,215333,Hilary Duff
4,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003-01-01,186866,Lindsay Lohan
5,Stick to the Status Quo,High School Musical,56,2006-01-01,268413,Disney
6,Beautiful Soul,Beautiful Soul,71,2004-01-01,214226,Jesse McCartney
7,Do You Believe In Magic,Into The Rush,44,2005-01-01,134066,Aly & AJ
8,Our Song,Taylor Swift (Big Machine Radio Release Special),61,2006-10-24,203440,Taylor Swift
9,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,63,2006-01-01,174120,Hannah Montana
10,Walking On Sunshine,Into The Rush,49,2005-01-01,233733,Aly & AJ
11,Don't Go Breakin' My Heart - Original Version,Ella Enchanted,41,2004-01-01,190066,Anne Hathaway
12,Picture To Burn,Taylor Swift (Big Machine Radio Release Special),57,2006-10-24,175280,Taylor Swift
13,Mandy,Music From Chasing Happiness,30,2019-05-09,168480,Jonas Brothers
14,Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Big Machine Radio Release Special),57,2006-10-24,204706,Taylor Swift
15,If That's Not Love,The Naked Brothers Band,38,2007-10-09,134146,The Naked Brothers Band
16,Long Distance,The Naked Brothers Band,25,2007-10-09,240693,The Naked Brothers Band
17,Thinking Of You,One Of The Boys,49,2008-06-17,246410,Katy Perry
18,Big Girls Don't Cry (Personal),The Dutchess,71,2006-09-13,268120,Fergie
19,I'm Only Me When I'm With You,Taylor Swift,53,2006-10-24,213053,Taylor Swift
20,7 Things - Single Version,Breakout,62,2008-01-01,213453,Miley Cyrus
21,If We Were A Movie,Hannah Montana 3,49,2009-01-01,184360,Corbin Bleu
22,Burnin' Up,A Little Bit Longer,68,2008-08-12,175093,Jonas Brothers
23,Lovebug,A Little Bit Longer,61,2008-08-12,220693,Jonas Brothers
