playlist_name,track_name,album_name,popularity,release_date,duration
current nov22,26,26,31,2022-06-01,188376
current nov22,For You,Song For Our Daughter,51,2020-04-10,237228
current nov22,Erotic,Antisocial,3,2022-06-21,337914
current nov22,Unlearn Me,Unlearn Me,23,2021-09-10,192540
current nov22,You Look So Good In Love,Right Or Wrong,53,1983-01-01,193560
current nov22,Jealous of Paris,Jealous of Paris,57,2022-04-28,141639
current nov22,Lover Boy,You Do Not Have To Be Good,55,2022-08-05,119645
current nov22,Give Me A Minute,Give Me A Minute,59,2020-08-13,157493
current nov22,The Walls Are Way Too Thin,The Walls Are Way Too Thin,55,2021-11-12,221933
current nov22,Es Demasiado Tarde - Remasterizado,La Reina Canta A Mexico,50,2006-10-31,251666
current nov22,The Giver,The Giver,58,2022-10-21,227209
current nov22,Before the World Was Big,Before The World Was Big,47,2015-06-02,141190
current nov22,Can I Call You Rose?,Can I Call You Rose?,56,2020-03-03,188512
current nov22,Touch Me,Riot Of The Kelly Green Love,29,2021-10-27,160601
current nov22,Shark Smile - Edit,Shark Smile (Edit),62,2017-05-08,194760
current nov22,Umacashelana,Umacashelana,25,2021-08-31,125573
current nov22,Nonsense,emails i can't send,78,2022-07-15,163648
current nov22,Build a Bitch,Build a Bitch,75,2021-05-14,122772
current nov22,Kisua Ki Ngui Fuá,Soul of Angola: Anthologie De La Musique Angolaise 1965 - 1975,18,1905-06-23,204720
current nov22,Very Few Friends,Very Few Friends,75,2022-11-07,132500
current nov22,La loi de Murphy,Brol,49,2018-10-05,195173
current nov22,Means Something,Give Me A Minute,48,2020-08-13,144631
current nov22,Big Boss (Interlude),JAGUAR,59,2020-08-07,91249
current nov22,Air So Sweet,Build A Problem,57,2021-05-07,65300
wedding playlist 2,"Baby, I Love You",Presenting the Fabulous Ronettes Featuring Veronica,43,1964-11-01,171466
wedding playlist 2,"Baby, I Love You",End of the Century (Expanded 2005 Remaster),58,1980-02-04,224560
wedding playlist 2,I Wanna Be Your Boyfriend - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),48,1976-04-23,144306
wedding playlist 2,Be My Baby,Presenting the Fabulous Ronettes Featuring Veronica,67,1964-11-01,160906
wedding playlist 2,Friday I'm in Love,Wish,68,1992-04-21,214400
wedding playlist 2,Do You Realize??,Yoshimi Battles the Pink Robots,59,2002-05-13,213173
wedding playlist 2,I Melt with You,After the Snow,61,1982-01-25,251573
wedding playlist 2,Just like Heaven,"Kiss Me, Kiss Me, Kiss Me",68,1987-05-25,212000
wedding playlist 2,Here Comes Your Man,Doolittle,69,1989-04-17,201186
wedding playlist 2,God Only Knows - Mono / 1997 Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),67,1966-06-16,173040
coming of age online,Missed the Boat,We Were Dead Before The Ship Even Sank,57,2007-03-20,264813
coming of age online,Every Other Freckle,Every Other Freckle,28,2014-08-13,216004
coming of age online,Float On,Good News For People Who Love Bad News,72,2004-04-05,208466
coming of age online,Dashboard,We Were Dead Before The Ship Even Sank,62,2007-03-20,246173
coming of age online,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,65,1998-02-20,202346
coming of age online,"Holland, 1945",In the Aeroplane Over the Sea,58,1998-02-20,192533
coming of age online,Communist Daughter,In the Aeroplane Over the Sea,52,1998-02-20,117306
coming of age online,Oh Comely,In the Aeroplane Over the Sea,49,1998-02-20,498146
coming of age online,King of Carrot Flowers Pts. 2 & 3,In the Aeroplane Over the Sea,50,1998-02-20,186280
coming of age online,Two-Headed Boy,In the Aeroplane Over the Sea,53,1998-02-20,266106
coming of age online,"Flightless Bird, American Mouth",The Shepherd's Dog,68,2007-09-25,241917
coming of age online,Heart It Races - Cover Version,Heart It Races,3,2007-06-05,233128
coming of age online,First Day Of My Life,"I'm Wide Awake, It's Morning",1,2005-01-25,188800
coming of age online,Cough Syrup,Young The Giant (Special Edition),70,1905-07-03,249520
coming of age online,White Winter Hymnal,Fleet Foxes,60,2008-06-09,147026
coming of age online,Do You Realize??,Yoshimi Battles the Pink Robots,59,2002-05-13,213173
coming of age online,"Yoshimi Battles the Pink Robots, Pt. 1",Yoshimi Battles the Pink Robots,57,2002-05-13,287506
coming of age online,Oblivion,Visions,68,2012-02-21,251266
coming of age online,Lua,"I'm Wide Awake, It's Morning",59,2005-01-25,271600
coming of age online,I And Love And You,I And Love And You,60,2009-01-01,300840
coming of age online,Blood Bank,Blood Bank,0,2009-01-20,285160
coming of age online,No One's Gonna Love You,Cease To Begin,59,2007-10-09,217333
