,track_name,album_name,popularity,release_date,duration,artist_name
0,She's A Lady,Underdog Alma Mater,52,2008-01-01,240040,Forever The Sickest Kids
1,1985,A Hangover You Don't Deserve,70,2004,193000,Bowling For Soup
2,Dirty Little Secret,Move Along,65,2005-01-01,193653,The All-American Rejects
3,Gives You Hell,When The World Comes Down,68,2008-01-01,213106,The All-American Rejects
4,Story of a Girl,The 90s Rocked My Heart,40,2015-12-11,187218,Melting Oak
5,"Sugar, We're Goin Down",From Under The Cork Tree,77,2005-05-03,229093,Fall Out Boy
6,Move Along,Move Along,60,2005-01-01,238880,The All-American Rejects
7,I Melt With You,Goes to the Movies (Expanded Edition),42,2005-11-15,241440,Bowling For Soup
8,"Dear Maria, Count Me In","So Wrong, It's Right",76,2007-09-25,182826,All Time Low
9,Sk8er Boi,Let Go,76,2002-06-04,204000,Avril Lavigne
10,All The Small Things,Enema Of The State,81,1999-06-01,167066,blink-182
11,In Too Deep,"All Killer, No Filler",74,2001-01-01,207093,Sum 41
12,Mr. Brightside,Hot Fuss,84,2004,222973,The Killers
13,Jane Doe,What Is Love?,37,2010,115146,Never Shout Never
14,piggy bank,Harmony,27,2010-08-23,94200,Never Shout Never
15,first dance,Harmony,40,2010-08-23,129773,Never Shout Never
16,trampoline,Harmony,32,2010-08-23,144840,Never Shout Never
17,sweet perfection,Harmony,35,2010-08-23,109053,Never Shout Never
18,Hummingbird,The Summer EP,32,2009-06-19,185173,Never Shout Never
19,Can't Stand It,What Is Love?,45,2010,170560,Never Shout Never
20,Kiss Me Slowly,Pop Party,37,2019-05-03,235813,Parachute
21,Two Is Better Than One (feat. Taylor Swift),Love Drunk,65,2009-09-07,242840,Taylor Swift
22,Say You Like Me,Sunshine State of Mind,53,2011-07-12,210645,We The Kings
23,Love Like Woe,"I'm Alive, I'm Dreaming (Deluxe)",55,2010-06-14,200453,The Ready Set
24,Thnks fr th Mmrs,Infinity On High,77,2007-01-01,203506,Fall Out Boy
25,It Ends Tonight,Move Along,56,2005-01-01,244826,The All-American Rejects
26,Hero / Heroine - Original Mix,Boys Like Girls,37,2006-08-22,232240,Boys Like Girls
27,That's What You Get,Riot!,66,2007-06-11,220480,Paramore
28,Goodnight Moon,Do Overs And Second Chances,52,2010-01-01,306186,Go Radio
29,Rhythm Of Love,Wonders Of The Younger (International Version),52,2010-01-01,200200,Plain White T's
30,Everywhere,The Spirit Room,65,2001-07-31,214826,Michelle Branch
31,Breathe,Hotel Paper,56,2003-06-24,211773,Michelle Branch
32,Are You Happy Now?,Hotel Paper (Deluxe Edition),31,2003-06-24,230760,Michelle Branch
33,Over My Head (Cable Car),How To Save A Life,68,2005-09-13,236266,The Fray
34,Do It 2 Me,All the Way,43,2011-09-27,200053,Allstar Weekend
35,Mr Wonderful,All the Way,33,2011-09-27,200093,Allstar Weekend
36,When You Were Young,Sam's Town,76,2006-09-27,220426,The Killers
37,Human,Day & Age (Bonus Tracks),74,2008-11-18,245373,The Killers
38,Sam's Town,Sam's Town,54,2006-09-27,246026,The Killers
