,playlist_id,playlist_name,collaborative,description,track_name,artist_name,album_name,song_duration,genres,artist_popularity
21,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,re:stacks,Bon Iver,"For Emma, Forever Ago",401426,"['eau claire indie', 'indie folk', 'melancholia']",74
22,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Sea of Love,Cat Power,The Covers Record,139466,"['art pop', 'dream pop', 'indie pop', 'melancholia', 'singer-songwriter', 'slowcore']",56
23,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,The District Sleeps Alone Tonight - Remastered,The Postal Service,Give Up (Deluxe 10th Anniversary Edition),283746,"['indie pop', 'indie rock', 'indietronica', 'seattle indie']",50
24,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,I Will Follow You into the Dark,Death Cab for Cutie,Plans,189400,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
25,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Transatlanticism,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),475093,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
26,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,What Sarah Said,Death Cab for Cutie,Plans,380866,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
27,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Such Great Heights,The Postal Service,Give Up,266346,"['indie pop', 'indie rock', 'indietronica', 'seattle indie']",50
28,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,A Movie Script Ending,Death Cab for Cutie,The Photo Album,259480,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
29,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Dear Avery,The Decemberists,The King Is Dead,291906,"['alternative rock', 'anti-folk', 'baroque pop', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern folk rock', 'modern rock', 'pop rock', 'stomp and holler']",53
30,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,You're a Wolf,Sea Wolf,Leaves in the River,215560,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'stomp and holler']",44
31,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Middle Distance Runner,Sea Wolf,Leaves in the River,207666,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'stomp and holler']",44
32,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,The Garden That You Planted,Sea Wolf,Get to the River Before It Runs Too Low,241773,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'stomp and holler']",44
