playlist_name,artist_name,genres,artist_popularity
coming of age online,Damien Rice,"['irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",58
coming of age online,Grizzly Bear,"['alternative dance', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'dream pop', 'indie rock', 'modern rock', 'new weird america', 'stomp and holler']",55
coming of age online,The Smiths,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",75
coming of age online,Regina Spektor,"['indie pop', 'lilith', 'piano rock']",61
coming of age online,Bon Iver,"['eau claire indie', 'indie folk', 'melancholia']",75
coming of age online,Cat Power,"['art pop', 'dream pop', 'indie pop', 'melancholia', 'singer-songwriter', 'slowcore']",56
coming of age online,The Postal Service,"['indie pop', 'indie rock', 'indietronica', 'seattle indie']",50
coming of age online,Death Cab for Cutie,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
coming of age online,Death Cab for Cutie,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
coming of age online,Death Cab for Cutie,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
coming of age online,The Postal Service,"['indie pop', 'indie rock', 'indietronica', 'seattle indie']",50
coming of age online,Death Cab for Cutie,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
coming of age online,The Decemberists,"['alternative rock', 'anti-folk', 'baroque pop', 'canadian indie', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern folk rock', 'modern rock', 'pop rock', 'stomp and holler']",53
coming of age online,Sea Wolf,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'stomp and holler']",44
coming of age online,Sea Wolf,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'stomp and holler']",44
coming of age online,Sea Wolf,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'stomp and holler']",44
coming of age online,Bright Eyes,"['chamber pop', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",57
coming of age online,Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']",65
coming of age online,Edward Sharpe & The Magnetic Zeros,"['double drumming', 'indie folk', 'la indie', 'stomp and holler']",61
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
coming of age online,Fleet Foxes,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",64
coming of age online,Fleet Foxes,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",64
to lay on the floor,Penny and Sparrow,"['acoustic pop', 'indie folk', 'indiecoustica', 'new americana', 'stomp and holler']",54
to lay on the floor,Billie Marten,"['british singer-songwriter', 'indie anthem-folk', 'indie folk', 'indie pop']",56
to lay on the floor,Billie Marten,"['british singer-songwriter', 'indie anthem-folk', 'indie folk', 'indie pop']",56
dance,Natti Natasha,"['latin hip hop', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",75
dance,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino']",88
dance,Tiwa Savage,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'nigerian pop']",60
dance,Duncan Mighty,"['afro dancehall', 'afropop', 'azonto', 'naija old school', 'nigerian pop']",40
dance,Beyoncé,"['dance pop', 'pop', 'r&b']",86
dance,Ariana Grande,"['dance pop', 'pop']",88
dance,Bruno Mars,"['dance pop', 'pop']",87
dance,Bruno Mars,"['dance pop', 'pop']",87
dance,Anderson .Paak,['escape room'],78
dance,Silk Sonic,['neo soul'],73
dance,PRETTYMUCH,"['boy band', 'dance pop', 'pop', 'post-teen pop']",60
dance,Chloe x Halle,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",58
dance,Doja Cat,"['dance pop', 'pop']",86
dance,City Girls,"['dance pop', 'pop', 'r&b', 'rap', 'scam rap', 'trap queen']",66
dance,Latto,"['pop', 'rap', 'trap queen']",71
dance,The New Respects,['nashville indie'],29
dance,Troye Sivan,"['australian pop', 'dance pop', 'pop', 'viral pop']",75
dance,THE ANXIETY,['modern alternative pop'],62
dance,WILLOW,"['afrofuturism', 'pop', 'post-teen pop']",74
dance,Tyler Cole,['bedroom soul'],62
dance,Muni Long,"['indie r&b', 'pop', 'pop r&b', 'r&b', 'rap']",63
dance,Muni Long,"['indie r&b', 'pop', 'pop r&b', 'r&b', 'rap']",63
dance,Muni Long,"['indie r&b', 'pop', 'pop r&b', 'r&b', 'rap']",63
dance,Ann Marie,"['pop r&b', 'viral rap']",52
currents,Lake Street Dive,"['boston rock', 'new americana']",60
currents,BJ The Chicago Kid,"['alternative r&b', 'chicago rap', 'hip hop', 'indie soul', 'neo soul', 'r&b', 'underground hip hop']",60
currents,PJ Morton,"['neo soul', 'r&b', 'urban contemporary']",58
currents,Kenyon Dixon,"['alternative r&b', 'indie r&b', 'pop r&b']",49
currents,Charlie Bereal,,38
currents,Panic! At The Disco,['modern rock'],77
currents,Thirdstory,['nyc pop'],44
currents,Ludo,['tulsa indie'],44
currents,Bleachers,"['double drumming', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop']",63
currents,Colony House,"['indie poptimism', 'indiecoustica', 'modern rock', 'stomp and holler']",52
currents,Jamila Woods,"['afrofuturism', 'alternative r&b', 'escape room', 'indie soul']",51
currents,Dermot Kennedy,"['folk-pop', 'irish pop', 'pop']",74
currents,James Blake,"['electronica', 'indie soul', 'uk alternative pop']",65
wedding playlist,Lindsay Lohan,"['dance pop', 'post-teen pop']",46
wedding playlist,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",72
a love letter to little me,Hannah Montana,"['dance pop', 'pop', 'post-teen pop']",62
a love letter to little me,Hannah Montana,"['dance pop', 'pop', 'post-teen pop']",62
a love letter to little me,Hannah Montana,"['dance pop', 'pop', 'post-teen pop']",62
a love letter to little me,Hannah Montana,"['dance pop', 'pop', 'post-teen pop']",62
a love letter to little me,Bridgit Mendler,"['dance pop', 'pop', 'post-teen pop']",60
a love letter to little me,Plain White T's,"['neo mellow', 'pop punk', 'pop rock']",63
a love letter to little me,Selena Gomez & The Scene,"['dance pop', 'pop', 'post-teen pop']",68
a love letter to little me,Aly & AJ,"['dance pop', 'electropop', 'girl group', 'indie pop', 'indie poptimism', 'pop', 'post-teen pop']",58
a love letter to little me,Hilary Duff,"['dance pop', 'pop', 'post-teen pop']",55
a love letter to little me,Lindsay Lohan,"['dance pop', 'post-teen pop']",46
a love letter to little me,High School Musical Cast,"['dance pop', 'post-teen pop']",61
a love letter to little me,Disney,,80
