,playlist_name,track_name,album_name
0,My Quarantunes,Sold (The Grundy County Auction Incident),John Michael Montgomery
1,My Quarantunes,the author,the author
2,My Quarantunes,Whatever We Feel,Whatever We Feel
3,My Quarantunes,"You, Dear",This Thing Called Living
4,My Quarantunes,goodnight n go,Sweetener
5,My Quarantunes,NASA,"thank u, next"
6,My Quarantunes,Get Into It (Yuh),Planet Her
7,My Quarantunes,You're Too Precious,You're Too Precious
8,My Quarantunes,Pancakes for Dinner,Give Me A Minute
9,My Quarantunes,Hrs & Hrs,Public Displays Of Affection
10,My Quarantunes,Bailar Contigo,Encanto Tropical
11,My Quarantunes,Twenty Two and Some Change,Guess I’m Grown Now
12,My Quarantunes,"Hey Stupid, I Love You","Hey Stupid, I Love You"
13,My Quarantunes,Cariñito,Al Chile
14,My Quarantunes,Aren’t You Lovely,Aren’t You Lovely
15,My Quarantunes,I’m Coming ‘Round,Cold Heart
16,My Quarantunes,decide to be happy,SUPERBLOOM
17,My Quarantunes,January Wedding,I And Love And You
18,My Quarantunes,JEWEL,JEWEL
19,My Quarantunes,Make You Feel My Love,19
20,My Quarantunes,She's A Lady,Underdog Alma Mater
21,My Quarantunes,Bring it on Home to Me (feat. Charlie Bereal),Bring it on Home to Me (feat. Charlie Bereal)
22,My Quarantunes,Just Beginning,Nobody Knows
23,My Quarantunes,Berna,Flavour of Africa
24,My Quarantunes,Anything For You,Prepare The Preparations
25,My Quarantunes,Ain't Shit,Planet Her
26,My Quarantunes,Have Mercy,Have Mercy
27,My Quarantunes,positions,Positions
28,My Quarantunes,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker
29,My Quarantunes,You Right,Planet Her
30,My Quarantunes,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday
31,My Quarantunes,CHICKEN TENDIES,CHICKEN TENDIES
32,My Quarantunes,I Forgot That You Existed,Lover
33,My Quarantunes,Woman,Planet Her
34,My Quarantunes,Goodnight Moon,Do Overs And Second Chances
35,My Quarantunes,just like magic,Positions
36,My Quarantunes,Hocus Pocus,Year One
37,My Quarantunes,DÁKITI,DÁKITI
38,My Quarantunes,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version)
39,My Quarantunes,La Negra Tiene Tumbao,La Negra Tiene Tumbao
40,My Quarantunes,IVORY,IVORY
41,My Quarantunes,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]"
42,My Quarantunes,Good Kisser,Free Yourself Up
43,My Quarantunes,"Best Friend (feat. Doja Cat, Jamie & CHANMINA) [Remix]",Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition]
44,My Quarantunes,Naked,Planet Her
