,playlist_name,track_name,album_name
0,currents,Let's Get Married,Gone Now
1,currents,Julia,Leave What's Lost Behind
2,currents,Holy,HEAVN
3,currents,For Island Fires and Family,Dermot Kennedy
4,currents,You're Too Precious,You're Too Precious
