,playlist_name,track_name,album_name
0,wedding playlist 2,Do You Realize??,Yoshimi Battles the Pink Robots
1,wedding playlist 2,I Melt with You,After the Snow
2,wedding playlist 2,Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me"
3,wedding playlist 2,Here Comes Your Man,Doolittle
4,wedding playlist 2,God Only Knows - Mono / 1997 Remastered,Pet Sounds (Original Mono & Stereo Mix Versions)
