,playlist_name,track_name,album_name
0,Will Reagan – Vacancy,Lack,Vacancy
1,Will Reagan – Vacancy,Stretch,Vacancy
2,Will Reagan – Vacancy,You Were Pouring Wine,Vacancy
3,Will Reagan – Vacancy,Friends in the Fire,Vacancy
4,Will Reagan – Vacancy,Regret,Vacancy
