,playlist_name,track_name,album_name
0,,Why Me,The Austin Sessions
1,,Second Sight,Returning Current
2,,Martha,Closing Time (Remastered)
3,,Now I'm In It - Bonus Track,Now I'm In It
4,,Boys And Girls Of 2018 And Everything In Between,MAYBE
5,,Delicate,O
6,,Nobody Wins,The Austin Sessions
7,,Black Oak,Safe And Also No Fear
8,,Fruits Of My Labor,World Without Tears
9,,The Bad In Each Other,Metals
10,,Gold and Green,Birdie
11,,Don't Think Twice It's Alright,Chris Thile & Brad Mehldau
12,,Hurry,K.T.S.E.
13,,I Would Like To Call It Beauty,The Sea
14,,For All We Know,A Donny Hathaway Collection
15,,So We Say,Three the Hard Way
16,,Sticking to My Guns,Gumbo
17,,Real Love Baby,Real Love Baby
18,,Living at the Ceiling,Fear
19,,Nervous Driver,Thx
20,,Call Me When You Get This,Corinne Bailey Rae
21,,Torn Screen Door,Torn Screen Door
22,,Ready For Love,Acoustic Soul
23,,Let It Lie,Let It Lie (Deluxe)
24,,Now At Last,Let It Die
25,,Self,Room 25
26,,"Strength, Courage, and Wisdom - India Arie",Acoustic Soul
27,,Motivation,Motivation
28,,No Other Love,No Other Love
29,,Poses,Poses (Expanded Edition)
30,,The Story of an Artist,The Late Great Daniel Johnston: Discovered Covered
31,,MONOPOLY (with Victoria Monét),MONOPOLY
32,,Home,The Nameless Ranger
33,,World Spins Madly On,Say I Am You
34,,Yellow Eyes,Imaginary Man
35,,Feel The Need,Feel The Need
36,,To Beat The Devil,The Essential Kris Kristofferson
37,,Take Care,Alone at Last
