,playlist_name,track_name,album_name
0,for dancing,She's A Lady,Underdog Alma Mater
1,for dancing,1985,A Hangover You Don't Deserve
2,for dancing,Dirty Little Secret,Move Along
3,for dancing,Gives You Hell,When The World Comes Down
4,for dancing,Story of a Girl,The 90s Rocked My Heart
5,for dancing,"Sugar, We're Goin Down",From Under The Cork Tree
6,for dancing,Move Along,Move Along
7,for dancing,I Melt With You,Goes to the Movies (Expanded Edition)
8,for dancing,"Dear Maria, Count Me In","So Wrong, It's Right"
9,for dancing,Sk8er Boi,Let Go
10,for dancing,All The Small Things,Enema Of The State
11,for dancing,In Too Deep,"All Killer, No Filler"
12,for dancing,Mr. Brightside,Hot Fuss
13,for dancing,Jane Doe,What Is Love?
14,for dancing,piggy bank,Harmony
15,for dancing,first dance,Harmony
16,for dancing,trampoline,Harmony
17,for dancing,sweet perfection,Harmony
18,for dancing,Hummingbird,The Summer EP
19,for dancing,Can't Stand It,What Is Love?
20,for dancing,Kiss Me Slowly,The Way It Was
21,for dancing,Two Is Better Than One (feat. Taylor Swift),Love Drunk
22,for dancing,Say You Like Me,Sunshine State of Mind
23,for dancing,Love Like Woe,"I'm Alive, I'm Dreaming (Deluxe)"
24,for dancing,Thnks fr th Mmrs,Infinity On High
25,for dancing,It Ends Tonight,Move Along
26,for dancing,Hero / Heroine - Original Mix,Boys Like Girls
27,for dancing,That's What You Get,Riot!
28,for dancing,Goodnight Moon,Do Overs And Second Chances
29,for dancing,Rhythm Of Love,Wonders Of The Younger
30,for dancing,Everywhere,The Spirit Room
31,for dancing,Breathe,Hotel Paper
32,for dancing,Are You Happy Now?,Hotel Paper (Deluxe Edition)
33,for dancing,Over My Head (Cable Car),How To Save A Life
34,for dancing,Do It 2 Me,All the Way
35,for dancing,Mr Wonderful,All the Way
36,for dancing,When You Were Young,Sam's Town
37,for dancing,Human,Day & Age (Bonus Tracks)
38,for dancing,Sam's Town,Sam's Town
