,playlist_name,track_name,album_name
0,dance,Leave The Door Open,An Evening With Silk Sonic
1,dance,Summer on You,Summer on You
2,dance,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]"
3,dance,No Drama,No Drama
4,dance,Angel Baby,Angel Baby
5,dance,Meet Me At Our Spot,THE ANXIETY
6,dance,Waffle House,Black Like This
7,dance,Sneaky Link,Nobody Knows
8,dance,No R&B (feat. Ann Marie),Public Displays Of Affection
9,dance,Have Mercy,Have Mercy
10,dance,NASA,"thank u, next"
11,dance,Berna,Flavour of Africa
12,dance,No Copia,No Copia
13,dance,Favorito,Favorito
14,dance,Girlfriend,Girlfriend
15,dance,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty)
16,dance,Safaera,YHLQMDLG
17,dance,Yo Perreo Sola,YHLQMDLG
18,dance,Callaita,Callaita
19,dance,Arcoíris,Colores
20,dance,Find Someone Like You,"- Ugh, those feels again"
21,dance,Still Not Falling,Timeshare
22,dance,Felices los 4,Felices los 4
23,dance,Julia,Leave What's Lost Behind
24,dance,To Noise Making (Sing),"Wasteland, Baby!"
25,dance,Do Whatcha Wanna,25th Anniversary
26,dance,Wraith Pinned to the Mist and Other Games,The Sunlandic Twins
27,dance,Holy Ghost,Cocoa Sugar
28,dance,Young Americans - Single Version; 2002 Remaster,Legacy (Deluxe Edition)
29,dance,I Fought the Law,Hits Back
30,dance,Katchua,Katchua
31,dance,Suzanna,Midnight Train
32,dance,Djadja,NAKAMURA
33,dance,Don't Pull Your Love,Greatest Hits
34,dance,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)
35,dance,Liballa,Liballa
36,dance,Jenevah,H E L I O S.
37,dance,La métisse,Zulu
38,dance,Jowo,A Better Time
39,dance,Nobody,Nobody
40,dance,Definition,Mos Def & Talib Kweli Are Black Star
41,dance,Sunday Candy,Surf
42,dance,The Light,Go! Common Classics
43,dance,Hypnotize - 2014 Remaster,Life After Death (Deluxe Version)
44,dance,7/11,BEYONCÉ [Platinum Edition]
45,dance,Angels (feat. Saba),Angels (feat. Saba)
46,dance,Paper Planes,Kala
47,dance,Gangnam Style (강남스타일),Gangnam Style (강남스타일)
48,dance,Formation,Lemonade
49,dance,Soy Yo,Amanecer
