,playlist_name,track_name,album_name
0,ATL w/Melissa,Breakfast In Bed,1-800-HIT-EAZY
1,ATL w/Melissa,Hocus Pocus,Year One
2,ATL w/Melissa,Over (When We Said Goodbye),Cold Heart
3,ATL w/Melissa,Good Kisser,Free Yourself Up
4,ATL w/Melissa,Colors,Black Pumas
5,ATL w/Melissa,Better Days,Better Days
