,playlist_name,track_name,album_name
0,doin' the naughty,Sex And Candy,"Lunch, Recess & Detention"
1,doin' the naughty,The Only Moment We Were Alone,The Earth Is Not a Cold Dead Place
2,doin' the naughty,Man,good to know
3,doin' the naughty,Breakfast In Bed,1-800-HIT-EAZY
