,playlist_name,track_name,album_name
0,To listen to 8/2,Thoughts From the ER (Silver Lining),Hotel TV
1,To listen to 8/2,It's Not All About You,Hotel TV
2,To listen to 8/2,Don't Move,Hotel TV
3,To listen to 8/2,It's Gonna Be Me (feat. Brasstracks),Hotel TV
4,To listen to 8/2,The Weather,Hotel TV
5,To listen to 8/2,False Alarms (with Jon Bellion),Hotel TV
6,To listen to 8/2,Figure It Out (A Song Between Siblings),Hotel TV
7,To listen to 8/2,Stupid Deep,Glory Sound Prep
8,To listen to 8/2,False Alarms (with Jon Bellion),False Alarms (with Jon Bellion)
9,To listen to 8/2,Hand Of God - Outro,The Human Condition
10,To listen to 8/2,JT,Glory Sound Prep
11,To listen to 8/2,Couples Retreat,Glory Sound Prep
12,To listen to 8/2,Pre-Occupied,The Definition
13,To listen to 8/2,Human,The Definition
14,To listen to 8/2,Simple & Sweet,The Definition
15,To listen to 8/2,Ooh,The Definition
16,To listen to 8/2,Luxury,The Definition
17,To listen to 8/2,Dead Man Walking,Translations Through Speakers
