Manner_of_death,Race,total
Other,White,1
Shot,Asian,14
Shot,Black,350
Shot,Hispanic,232
Shot,Native,18
Shot,Other,10
Shot,White,706
Shot and Tasered,,1
Shot and Tasered,Asian,1
Shot and Tasered,Black,6
Shot and Tasered,Hispanic,4
Shot and Tasered,White,21
Tasered,Asian,1
Tasered,Black,21
Tasered,Hispanic,9
Tasered,Native,1
Tasered,White,21
